"","date","hits"
"1",2004-01-01,19
"2",2004-02-01,20
"3",2004-03-01,22
"4",2004-04-01,23
"5",2004-05-01,18
"6",2004-06-01,16
"7",2004-07-01,15
"8",2004-08-01,16
"9",2004-09-01,17
"10",2004-10-01,29
"11",2004-11-01,26
"12",2004-12-01,32
"13",2005-01-01,21
"14",2005-02-01,24
"15",2005-03-01,26
"16",2005-04-01,22
"17",2005-05-01,19
"18",2005-06-01,16
"19",2005-07-01,18
"20",2005-08-01,18
"21",2005-09-01,18
"22",2005-10-01,33
"23",2005-11-01,26
"24",2005-12-01,36
"25",2006-01-01,18
"26",2006-02-01,25
"27",2006-03-01,24
"28",2006-04-01,27
"29",2006-05-01,18
"30",2006-06-01,16
"31",2006-07-01,15
"32",2006-08-01,20
"33",2006-09-01,22
"34",2006-10-01,34
"35",2006-11-01,30
"36",2006-12-01,40
"37",2007-01-01,21
"38",2007-02-01,26
"39",2007-03-01,25
"40",2007-04-01,23
"41",2007-05-01,21
"42",2007-06-01,21
"43",2007-07-01,19
"44",2007-08-01,24
"45",2007-09-01,22
"46",2007-10-01,31
"47",2007-11-01,31
"48",2007-12-01,40
"49",2008-01-01,24
"50",2008-02-01,30
"51",2008-03-01,33
"52",2008-04-01,29
"53",2008-05-01,24
"54",2008-06-01,23
"55",2008-07-01,22
"56",2008-08-01,26
"57",2008-09-01,27
"58",2008-10-01,37
"59",2008-11-01,40
"60",2008-12-01,49
"61",2009-01-01,30
"62",2009-02-01,37
"63",2009-03-01,37
"64",2009-04-01,38
"65",2009-05-01,31
"66",2009-06-01,26
"67",2009-07-01,26
"68",2009-08-01,30
"69",2009-09-01,31
"70",2009-10-01,44
"71",2009-11-01,42
"72",2009-12-01,53
"73",2010-01-01,33
"74",2010-02-01,38
"75",2010-03-01,40
"76",2010-04-01,38
"77",2010-05-01,34
"78",2010-06-01,29
"79",2010-07-01,26
"80",2010-08-01,34
"81",2010-09-01,35
"82",2010-10-01,49
"83",2010-11-01,47
"84",2010-12-01,58
"85",2011-01-01,36
"86",2011-02-01,47
"87",2011-03-01,41
"88",2011-04-01,43
"89",2011-05-01,34
"90",2011-06-01,36
"91",2011-07-01,37
"92",2011-08-01,42
"93",2011-09-01,39
"94",2011-10-01,52
"95",2011-11-01,51
"96",2011-12-01,70
"97",2012-01-01,42
"98",2012-02-01,51
"99",2012-03-01,47
"100",2012-04-01,50
"101",2012-05-01,41
"102",2012-06-01,37
"103",2012-07-01,37
"104",2012-08-01,37
"105",2012-09-01,38
"106",2012-10-01,55
"107",2012-11-01,60
"108",2012-12-01,79
"109",2013-01-01,45
"110",2013-02-01,54
"111",2013-03-01,62
"112",2013-04-01,47
"113",2013-05-01,46
"114",2013-06-01,39
"115",2013-07-01,35
"116",2013-08-01,42
"117",2013-09-01,40
"118",2013-10-01,59
"119",2013-11-01,67
"120",2013-12-01,81
"121",2014-01-01,48
"122",2014-02-01,57
"123",2014-03-01,54
"124",2014-04-01,60
"125",2014-05-01,49
"126",2014-06-01,38
"127",2014-07-01,41
"128",2014-08-01,44
"129",2014-09-01,40
"130",2014-10-01,62
"131",2014-11-01,71
"132",2014-12-01,84
"133",2015-01-01,51
"134",2015-02-01,61
"135",2015-03-01,60
"136",2015-04-01,56
"137",2015-05-01,51
"138",2015-06-01,44
"139",2015-07-01,41
"140",2015-08-01,45
"141",2015-09-01,48
"142",2015-10-01,69
"143",2015-11-01,77
"144",2015-12-01,96
"145",2016-01-01,60
"146",2016-02-01,70
"147",2016-03-01,74
"148",2016-04-01,57
"149",2016-05-01,49
"150",2016-06-01,50
"151",2016-07-01,44
"152",2016-08-01,41
"153",2016-09-01,45
"154",2016-10-01,68
"155",2016-11-01,74
"156",2016-12-01,100
"157",2017-01-01,55
"158",2017-02-01,64
"159",2017-03-01,60
"160",2017-04-01,69
"161",2017-05-01,58
"162",2017-06-01,51
"163",2017-07-01,57
"164",2017-08-01,52
"165",2017-09-01,53
"166",2017-10-01,69
"167",2017-11-01,75
"168",2017-12-01,97
"169",2018-01-01,57
"170",2018-02-01,66
"171",2018-03-01,75
"172",2018-04-01,58
"173",2018-05-01,50
"174",2018-06-01,46
"175",2018-07-01,38
"176",2018-08-01,46
"177",2018-09-01,49
"178",2018-10-01,68
"179",2018-11-01,77
"180",2018-12-01,98
"181",2019-01-01,59
"182",2019-02-01,70
"183",2019-03-01,64
"184",2019-04-01,67
"185",2019-05-01,58
"186",2019-06-01,46
"187",2019-07-01,40
"188",2019-08-01,48
"189",2019-09-01,50
"190",2019-10-01,69
"191",2019-11-01,77
"192",2019-12-01,99
